artist_name,track_name,album_name,release_date,release_year,is_album_track,explicit,is_feature,popularity,track_id,duration_ms,danceability,energy,valence,tempo,loudness,speechiness,acousticness,instrumentalness,liveness,duration_min
Pac Div,Cross-Trainers (feat. Kendrick Lamar & Blu),The Div / GMB,2015-05-19,2015,FALSE,TRUE,TRUE,0,2PESE8ilPrfmPeaLdMoP6t,264293,526,927,452,89.787,-3.179,259,521,0.0,273,4.404.883.333.333.330
Jidenna,Classic Man (feat. Kendrick Lamar) - Remix,Classic Man (feat. Kendrick Lamar) [Remix],2015-06-22,2015,FALSE,TRUE,TRUE,45,530J9GupahE2O4a1iVkQxB,235046,851,657,644,94.036,-5.161,559,119,0.0,743,39.174.333.333.333.300
Bilal,Money Over Love (feat. Kendrick Lamar),In Another Life,2015-06-30,2015,FALSE,FALSE,TRUE,0,4l295fn8GUozWoRPDADuxc,164786,424,705,654,127.315,-5.889,185,0.28,2.84e-06,141,27.464.333.333.333.300
Dr. Dre,Deep Water (feat. Kendrick Lamar),Compton,2015-08-21,2015,FALSE,TRUE,TRUE,42,7LUOpegdxmYkaHjJXdHuZ3,311360,705,786,473,101.995,-5.417,355,306,3.27e-05,906,5.189.333.333.333.330
Dr. Dre,Darkside/Gone (feat. Kendrick Lamar),Compton,2015-08-21,2015,FALSE,TRUE,TRUE,41,5ZEdSY99Mj5U4MIF97EKER,233906,667,782,0.59,80.487,-4.404,0.31,125,0.0,997,3.898.433.333.333.330
Dr. Dre,Genocide (feat. Kendrick Lamar),Compton,2015-08-21,2015,FALSE,TRUE,TRUE,39,7GW98M7bhqIqLGpxxStZWP,266506,585,758,386,86.629,-3.501,186,195,0.0,88,4.441.766.666.666.660
King Esko,Murda (feat. Kendrick Lamar),King Esko,2015-09-01,2015,FALSE,TRUE,TRUE,0,1HFGtQBnUfFWMtRIuj5uAC,228310,554,961,405,99.033,-2.666,203,274,0.0,275,38.051.666.666.666.600
Glasses Malone,Thuggin' (feat. Kendrick Lamar),GlassHouse 2: Life Ain't Nuthin But...,2015-09-05,2015,FALSE,TRUE,TRUE,15,1s4Peo4fUtOjDwiNhO2Epo,300066,568,667,441,113.364,-8.935,363,173,0.0,244,5.2011
Jay Rock,Easy Bake (feat. Kendrick Lamar & SZA),90059,2015-09-11,2015,FALSE,TRUE,TRUE,38,2iXm6lM5KNUHOGP5OQSeyA,291812,566,586,619,174.262,-6.741,827,357,0.0,425,4.863.533.333.333.330
Jay Rock,Vice City (feat. Black Hippy) (feat. Kendrick Lamar),90059,2015-09-11,2015,FALSE,TRUE,TRUE,50,2SIdGJTWirTxRNEyCp9ocI,283751,844,553,511,114.939,-7.284,356,156,1.32e-06,816,4.729.183.333.333.330
The Game,On Me - feat. Kendrick Lamar,The Documentary 2,2015-10-09,2015,FALSE,TRUE,TRUE,0,6mUErYj38jotVlhzgGY6vl,285640,483,662,664,85.798,-9.18,541,136,0.0,796,4.760.666.666.666.660
Jonathan Emile,Heaven Help Dem (feat. Kendrick Lamar),The Lover / Fighter Document LP,2015-10-09,2015,FALSE,FALSE,TRUE,33,5dnh5AR01W0n8r3gLJAPPP,301363,323,763,185,175.462,-5.715,172,775,0.0,243,5.022.716.666.666.660
